,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
62,6.0,Sun,2022-09-18,18:30,Betis,1.6,2–1,1.3,Girona,52229.0,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
63,6.0,Sun,2022-09-18,18:30,Real Sociedad,1.9,2–1,0.8,Espanyol,31511.0,Reale Arena,Carlos del Cerro,Match Report,
64,6.0,Sun,2022-09-18,21:00,Atlético Madrid,1.0,1–2,0.9,Real Madrid,66881.0,Estadio Cívitas Metropolitano,José Luis Munuera,Match Report,
65,,,,,,,,,,,,,,
66,7.0,Fri,2022-09-30,21:00,Athletic Club,2.1,4–0,0.7,Almería,42110.0,San Mamés,Juan Pulido,Match Report,
67,7.0,Sat,2022-10-01,14:00,Cádiz,0.7,0–0,1.6,Villarreal,15516.0,Estadio Nuevo Mirandilla,Javier Villanueva,Match Report,
68,7.0,Sat,2022-10-01,16:15,Getafe,2.8,2–3,1.6,Valladolid,10958.0,Coliseum Alfonso Pérez,Alejandro Muñíz,Match Report,
69,7.0,Sat,2022-10-01,18:30,Sevilla,0.5,0–2,2.2,Atlético Madrid,37754.0,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
70,7.0,Sat,2022-10-01,21:00,Mallorca,1.2,0–1,0.7,Barcelona,18103.0,Iberostar Estadi,Jesús Gil,Match Report,
71,7.0,Sun,2022-10-02,14:00,Espanyol,0.8,2–2,1.1,Valencia,19766.0,RCDE Stadium,Valentín Pizarro,Match Report,
72,7.0,Sun,2022-10-02,16:15,Celta Vigo,0.9,1–0,0.9,Betis,14344.0,Estadio de Balaídos,César Soto,Match Report,
73,7.0,Sun,2022-10-02,18:30,Girona,1.0,3–5,2.1,Real Sociedad,12217.0,Estadi Municipal de Montilivi,Mario Melero,Match Report,
74,7.0,Sun,2022-10-02,21:00,Real Madrid,2.5,1–1,0.5,Osasuna,55410.0,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
75,7.0,Mon,2022-10-03,21:00,Rayo Vallecano,0.9,2–1,1.1,Elche,11662.0,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
76,,,,,,,,,,,,,,
77,8.0,Fri,2022-10-07,21:00,Osasuna,1.6,1–2,2.1,Valencia,20260.0,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
78,8.0,Sat,2022-10-08,14:00,Almería,1.2,3–1,0.8,Rayo Vallecano,10783.0,Power Horse Stadium,Pablo González,Match Report,
