,Home,Away,FTR,Attendance,B365H,B365D,B365A,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityHomeWin,ProbabilityAwayWin,Date
42,17,8,0,18904.0,2.3,3.4,3.1,3.0,0.3333333333333333,0.0,2.6666666666666665,1.5,-0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,6.5,3.333333333333333,16.0,3.5,9.666666666666666,2.333333333333333,1691.21130371,1691.61767578,5057.12231445,566.6645406083333,0.4928861274014881,0.2677225282865533,2019-09-21
43,3,6,0,57701.0,1.4,4.33,9.5,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,4.0,2.0,1.0,1872.65185547,1670.5065918,5136.70861817,1821.18487549,0.7296260009662066,0.0588902679973116,2019-09-21
44,13,4,1,18880.0,10.0,5.5,1.3,0.0,0.5,3.0,2.5,-1.0,-0.5,0.0,0.0,0.0,0.5,6.0,5.0,12.0,0.0,9.5,3.0,1639.18859863,1986.38818359,0.0,835.7379150383334,0.0695872919225933,0.7159711128144599,2019-09-21
45,11,18,1,11338.0,1.85,3.25,5.0,1.0,0.0,2.0,3.0,0.0,-2.0,0.0,1.0,0.0,0.0,4.0,4.0,10.5,1.5,12.0,1.0,1753.65344238,1570.72668457,1665.3920491566666,0.0,0.7119510333535722,0.0727840732252909,2019-09-22
46,10,22,-1,19173.0,3.0,3.25,2.45,0.0,1.3333333333333333,3.0,1.6666666666666667,-2.5,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,8.0,2.6666666666666665,11.0,2.5,8.666666666666666,3.0,1714.32189941,1737.05993652,0.0,2281.5334472666664,0.4613523390874507,0.2980154179472024,2019-09-22
47,24,16,0,39014.0,1.61,4.0,5.5,2.0,0.0,1.0,3.0,1.0,-1.0,0.5,0.5,0.0,0.0,5.0,8.0,11.5,5.0,19.0,7.0,1810.19348145,1634.8737793,3283.964925126667,0.0,0.7046649448947623,0.0786297182779234,2019-09-22
48,2,0,1,45143.0,1.61,3.75,6.0,3.0,1.0,0.0,2.0,1.5,0.0,1.0,0.0,0.0,1.0,3.0,2.0,13.0,5.0,5.0,1.0,1743.75561523,1684.34008789,5417.15148926,1749.7846679650002,0.5734456621252411,0.192410440431532,2019-09-22
49,23,21,-1,42354.0,2.62,3.8,2.45,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,9.0,6.0,19.0,5.0,17.0,8.0,1778.37573242,1834.0916748,1758.811279295,3453.97705078,0.4140260435572263,0.3442445055055758,2019-09-22
50,25,13,0,18410.0,2.25,3.3,3.3,1.0,2.333333333333333,2.0,0.6666666666666666,0.0,1.6666666666666667,0.0,1.0,0.6666666666666666,0.3333333333333333,10.0,6.0,11.0,1.0,13.666666666666666,5.333333333333333,1622.69470215,1659.42932129,1659.502685545,3954.54249064,0.4413411784158343,0.3174531253373406,2019-09-24
51,5,17,1,44560.0,1.95,3.6,3.8,1.3333333333333333,0.0,1.6666666666666667,3.0,0.0,-1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,7.333333333333333,7.5,12.333333333333334,3.6666666666666665,12.0,3.5,1680.05529785,1689.05236816,2238.0894368433333,0.0,0.4808243668920117,0.2792597853634808,2019-09-24
52,4,26,1,70316.0,1.3,5.75,9.0,3.0,1.5,0.0,1.5,3.0,1.0,1.0,0.0,0.5,0.0,6.5,4.5,18.5,8.5,15.5,5.0,1966.14746094,1741.52185059,5220.5275879,2648.518493655,0.7489936197622797,0.044189597432672,2019-09-24
53,18,3,-1,19348.0,6.5,3.6,1.61,1.3333333333333333,1.5,1.6666666666666667,1.5,0.0,-0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,6.0,4.5,12.666666666666666,3.0,9.0,3.0,1566.95617676,1865.99841309,2350.4028320299994,2475.246765135,0.1092641802728753,0.6676290927434789,2019-09-25
54,16,2,0,11036.0,2.87,3.0,2.7,0.0,1.0,3.0,2.0,-1.6666666666666667,0.0,0.0,0.0,0.0,1.0,8.333333333333334,6.0,11.0,3.333333333333333,7.5,3.5,1641.09387207,1750.68383789,0.0,1656.07836914,0.336712983151739,0.4216744309896935,2019-09-25
55,24,11,0,37814.0,1.9,3.3,4.5,1.6666666666666667,0.5,1.3333333333333333,2.5,0.6666666666666666,-0.5,0.3333333333333333,0.6666666666666666,0.0,0.5,5.333333333333333,5.0,12.0,4.666666666666667,9.0,2.0,1803.97338867,1757.4239502,2784.7380574541667,893.6477050783333,0.5567193738959471,0.2077773748449068,2019-09-25
56,21,19,1,57520.0,1.2,7.0,13.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,6.5,3.0,23.5,7.5,10.5,3.5,1842.50708008,1658.46020508,3322.3664550733333,3429.1197102866668,0.7130099227027175,0.0719400311213897,2019-09-25
57,8,23,1,5434.0,3.5,3.3,2.15,0.0,3.0,3.0,0.0,-1.0,1.3333333333333333,0.0,0.0,1.0,0.0,7.0,5.333333333333333,11.0,1.0,14.0,5.666666666666667,1693.77661133,1769.96020508,0.0,5052.93640137,0.3845096479125315,0.3735255895099652,2019-09-26
58,6,10,0,16361.0,1.85,3.5,4.2,1.0,2.0,2.0,1.0,-1.0,0.5,0.3333333333333333,0.0,0.5,0.5,5.0,3.5,7.333333333333333,3.333333333333333,6.0,1.5,1677.15991211,1700.90222168,1744.02871704,3379.83618164,0.4599217659471162,0.2993995781178019,2019-09-26
59,22,0,1,28720.0,1.6,4.0,5.5,3.0,0.5,0.0,2.5,2.0,-1.0,1.0,0.0,0.0,0.5,5.0,2.0,14.0,5.0,5.0,1.0,1750.47961426,1677.41186523,5352.18548583,875.008158365,0.5907722874998602,0.1766601273377761,2019-09-26
60,26,5,1,18135.0,1.83,3.8,4.1,1.6666666666666667,0.5,1.3333333333333333,2.5,0.6666666666666666,-1.5,0.3333333333333333,0.6666666666666666,0.0,0.5,2.333333333333333,2.0,13.333333333333334,6.0,5.5,2.5,1739.50427246,1688.96130371,2817.1004740375,898.1184692383334,0.5619507076062888,0.2029547246184135,2019-09-27
61,2,24,-1,42420.0,2.2,3.2,3.5,3.0,0.0,0.0,3.0,1.6666666666666667,-2.0,1.0,0.0,0.0,0.0,3.0,4.5,13.0,4.666666666666667,9.0,2.0,1749.72192383,1800.58374023,5413.3014221175,0.0,0.4210234638991946,0.3373531053360299,2019-09-28
62,11,4,-1,15135.0,4.33,3.4,1.85,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.6666666666666666,-1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,5.0,5.0,11.666666666666666,2.6666666666666665,9.0,2.333333333333333,1760.81359863,1968.16503906,2901.808827720833,564.6034240716666,0.2068051074128128,0.5577727528947539,2019-09-28
63,13,16,1,15519.0,2.4,3.1,3.2,1.5,0.5,1.5,2.5,0.5,-0.5,0.5,0.0,0.0,0.5,5.0,7.0,10.5,2.0,16.0,5.5,1660.53564453,1642.05566406,2695.934387205,857.4048055016666,0.5190301075503075,0.2429366810878072,2019-09-28
64,3,21,0,68032.0,2.4,3.3,3.0,2.333333333333333,2.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,5.666666666666667,6.0,10.666666666666666,4.333333333333333,13.666666666666666,6.666666666666667,1870.55114746,1846.16601562,4073.3435363775,4113.384755450834,0.5270840411746011,0.2353646475650249,2019-09-28
65,10,25,-1,20911.0,1.95,3.3,4.2,0.0,1.0,3.0,2.0,-2.333333333333333,-0.75,0.0,0.0,0.25,0.25,7.0,4.5,13.0,2.6666666666666665,11.25,3.0,1702.39001465,1621.58837891,0.0,1732.8209960939998,0.6003843955538919,0.1680010910254345,2019-09-29
66,8,6,1,5453.0,2.25,3.3,3.25,1.5,1.0,1.5,2.0,0.0,0.0,0.5,0.0,0.0,1.0,5.0,2.0,11.0,2.5,4.0,2.0,1701.87646484,1675.67224121,2579.149414065,1781.4154052733331,0.5295524160772483,0.233050169180664,2019-09-29
67,0,18,1,17135.0,2.2,3.2,3.5,1.3333333333333333,0.0,1.6666666666666667,3.0,0.0,-2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2.333333333333333,3.0,8.666666666666666,1.3333333333333333,9.5,2.0,1669.46655273,1562.40344238,2249.009806313333,0.0,0.6318607818096951,0.1400766380474719,2019-09-29
68,17,19,0,19362.0,2.15,3.5,3.4,2.333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.333333333333333,3.6666666666666665,15.0,3.6666666666666665,8.333333333333334,2.333333333333333,1680.1463623,1654.8013916,3915.288828529167,2274.6086425766666,0.528387231002557,0.2341423419254363,2019-09-29
69,23,22,1,37414.0,1.85,3.5,4.5,0.5,1.75,2.5,1.25,-0.5,0.25,0.0,0.5,0.5,0.25,9.0,3.75,14.0,2.5,9.0,3.5,1761.86047363,1758.42492676,879.3412475583333,3012.2612854005,0.4982482936002007,0.2626138825136185,2019-09-29
70,5,8,0,47056.0,2.0,3.6,3.7,1.75,0.5,1.25,2.5,0.5,-0.5,0.5,0.25,0.0,0.5,6.75,4.25,13.5,4.0,11.75,2.75,1682.43701172,1712.9276123,2949.5185729905,848.241149902,0.4502866518148001,0.3087439118010408,2019-10-04
71,16,17,-1,10160.0,2.0,3.5,3.8,0.25,0.0,2.75,3.0,-1.25,-1.3333333333333333,0.0,0.25,0.0,0.0,7.25,5.666666666666667,10.0,3.25,13.666666666666666,3.333333333333333,1639.57666016,1680.60876465,433.929309082,0.0,0.4351703653069707,0.3234796935574919,2019-10-05
72,21,13,1,70315.0,1.28,5.75,10.0,2.333333333333333,2.0,0.6666666666666666,1.0,1.0,1.25,0.6666666666666666,0.3333333333333333,0.5,0.5,6.666666666666667,5.25,20.666666666666668,6.333333333333333,11.75,5.0,1846.43261719,1669.6652832,3881.042063389167,3450.2593261720003,0.7060642575313065,0.0775019997056193,2019-10-05
73,24,0,1,38943.0,1.5,4.33,6.5,1.5,0.3333333333333333,1.5,2.6666666666666665,0.5,-1.6666666666666667,0.25,0.75,0.0,0.3333333333333333,5.0,2.333333333333333,11.0,4.5,5.0,0.6666666666666666,1797.59033203,1678.3392334,2508.513171387,587.3032735183333,0.645832526274313,0.127914230027723,2019-10-05
