,Wk,Day,Date,Time,Home,Away,FTR,Attendance,B365H,B365D,B365A,AttackStrengthHome,AttackStrengthAway,DefenseWeaknessHome,DefenseWeaknessAway,Season,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityDraw,ProbabilityHomeWin,ProbabilityAwayWin
41,5.0,Sat,2019-09-21,12:00,Villarreal,Valladolid,H,16195.0,1.61,4.0,5.5,0.1153846153846153,0.0625,0.125,0.0769230769230769,19/20,1.0,1.3333333333333333,2.0,1.6666666666666667,0.0,-0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,1.5,3.333333333333333,11.0,6.0,12.666666666666666,3.0,1736.17297363,1628.04345703,1690.6932779933334,2320.571655273333,0.227908266227748,0.6330996980885474,0.1389920356837046
42,5.0,Sat,2019-09-21,15:00,Levante,Eibar,D,18904.0,2.3,3.4,3.1,0.074074074074074,0.0625,0.0208333333333333,0.0925925925925925,19/20,3.0,0.3333333333333333,0.0,2.6666666666666665,1.5,-0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,6.5,3.333333333333333,16.0,3.5,9.666666666666666,2.333333333333333,1691.21130371,1691.61767578,5057.12231445,566.6645406083333,0.2393913443119585,0.4928861274014881,0.2677225282865533
43,5.0,Sat,2019-09-21,17:30,Atlético Madrid,Celta Vigo,D,57701.0,1.4,4.33,9.5,0.074074074074074,0.0208333333333333,0.0416666666666666,0.0185185185185185,19/20,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,4.0,2.0,1.0,1872.65185547,1670.5065918,5136.70861817,1821.18487549,0.2114837310364818,0.7296260009662066,0.0588902679973116
44,5.0,Sat,2019-09-21,20:00,Granada,Barcelona,H,18880.0,10.0,5.5,1.3,0.0,0.0416666666666666,0.0208333333333333,0.0555555555555555,19/20,0.0,0.5,3.0,2.5,-1.0,-0.5,0.0,0.0,0.0,0.5,6.0,5.0,12.0,0.0,9.5,3.0,1639.18859863,1986.38818359,0.0,835.7379150383334,0.2144415952629469,0.0695872919225933,0.7159711128144599
45,5.0,Sun,2019-09-22,11:00,Getafe,Mallorca,H,11338.0,1.85,3.25,5.0,0.0357142857142857,0.0,0.0416666666666666,0.0357142857142857,19/20,1.0,0.0,2.0,3.0,0.0,-2.0,0.0,1.0,0.0,0.0,4.0,4.0,10.5,1.5,12.0,1.0,1753.65344238,1570.72668457,1665.3920491566666,0.0,0.2152648934211367,0.7119510333535722,0.0727840732252909
46,5.0,Sun,2019-09-22,13:00,Espanyol,Real Sociedad,A,19173.0,3.0,3.25,2.45,0.0,0.04,0.1,0.05,19/20,0.0,1.3333333333333333,3.0,1.6666666666666667,-2.5,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,8.0,2.6666666666666665,11.0,2.5,8.666666666666666,3.0,1714.32189941,1737.05993652,0.0,2281.5334472666664,0.2406322429653469,0.4613523390874507,0.2980154179472024
47,5.0,Sun,2019-09-22,15:00,Valencia,Leganés,D,39014.0,1.61,4.0,5.5,0.0491803278688524,0.0188679245283018,0.0188679245283018,0.0327868852459016,19/20,2.0,0.0,1.0,3.0,1.0,-1.0,0.5,0.5,0.0,0.0,5.0,8.0,11.5,5.0,19.0,7.0,1810.19348145,1634.8737793,3283.964925126667,0.0,0.2167053368273142,0.7046649448947623,0.0786297182779234
48,5.0,Sun,2019-09-22,17:30,Athletic Club,Alavés,H,45143.0,1.61,3.75,6.0,0.0483870967741935,0.0185185185185185,0.0,0.0161290322580645,19/20,3.0,1.0,0.0,2.0,1.5,0.0,1.0,0.0,0.0,1.0,3.0,2.0,13.0,5.0,5.0,1.0,1743.75561523,1684.34008789,5417.15148926,1749.7846679650002,0.2341438974432268,0.5734456621252411,0.192410440431532
49,5.0,Sun,2019-09-22,20:00,Sevilla,Real Madrid,A,42354.0,2.62,3.8,2.45,0.015625,0.0925925925925925,0.0185185185185185,0.046875,19/20,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,9.0,6.0,19.0,5.0,17.0,8.0,1778.37573242,1834.0916748,1758.811279295,3453.97705078,0.2417294509371979,0.4140260435572263,0.3442445055055758
50,6.0,Tue,2019-09-24,18:00,Valladolid,Granada,D,18410.0,2.25,3.3,3.3,0.0144927536231884,0.1578947368421052,0.0175438596491228,0.0579710144927536,19/20,1.0,2.333333333333333,2.0,0.6666666666666666,0.0,1.6666666666666667,0.0,1.0,0.6666666666666666,0.3333333333333333,10.0,6.0,11.0,1.0,13.666666666666666,5.333333333333333,1622.69470215,1659.42932129,1659.502685545,3954.54249064,0.2412056962468249,0.4413411784158343,0.3174531253373406
